"sku","name"
"BE2108-3","Burberry BE2108 3224 Stripped Violet"
"BE2108-4","Burberry BE2108 3302 Brown"
"BE2112-1","Burberry BE2112 3001 Black"
"BE2112-2","Burberry BE2112 3012 Sand"
"BE2112-3","Burberry BE2112 3013 Avio Gray"
"BE2112-4","Burberry BE2112 3265 Eggplant"
"BE2115-1","Burberry BE2115 3001 Black"
"BE2115-2","Burberry BE2115 3002 Dark Havana"
"BE2115-3","Burberry BE2115 3327 Havana Gradient"
"BE2115-4","Burberry BE2115 3328 Stripped Blue"
"BE2117-1","Burberry BE2117 3332 Black"
"BE2117-2","Burberry BE2117 3333 Dark Havana"
"BE2117-3","Burberry BE2117 3335 Blue Horn"
"BE2117-4","Burberry BE2117 3336 Olive Green"
"BE2118-1","Burberry BE2118 3329 Black"
"BE2118-2","Burberry BE2118 3330 Light Havana"
"BE2118-3","Burberry BE2118 3337 Dark Red"
"BE2118-4","Burberry BE2118 3338 Beige"
"BE2119-1","Burberry BE2119 3329 Black"
"BE2119-2","Burberry BE2119 3330 Light Havana"
"BE2119-3","Burberry BE2119 3337 Dark Red"
"BE2119-4","Burberry BE2119 3338 Beige"
"BE2120-1","Burberry BE2120 3001 Shiny Black"
"BE2120-2","Burberry BE2120 3002 Dark Havana"
"BE2120-3","Burberry BE2120 3014 Plum"
"BE2120-4","Burberry BE2120 3149 Grey Havana"
"BE2121-1","Burberry BE2121 3001  Black"
"BE2121-2","Burberry BE2121 3002 Dark Havana"
"BE2121-3","Burberry BE2121 3008 Dark Red"
"BE2121-4","Burberry BE2121 3339 Stripped Brown"
"Be2135-1","Burberry BE2135 3001  Black"
"BE2135-4","Burberry BE2135 3350  Top Blue"
"BE2135-5","Burberry BE2135 3364 Red"
"BE2135-6","Burberry BE2135 3365 Turquoise"
"BE2136-1","Burberry BE2136 3001  Black"
"BE2136-2","Burberry BE2136 3010 Olive Green"
"BE2136-3","Burberry BE2136 3349 Havana"
"BE2136-4","Burberry BE2136 3351 Bordeaux"
"BE2136-5","Burberry BE2136 3365 Turquoise"
"BE2136-6","Burberry BE2136 3366 Orange"
"BE3018-2","Bvlgari BV3018 504 Dark Havana"
"BE3053-1","Burberry BE3053 100213 Light Gold/Brown Gradient"
"BE3053-2","Burberry BE3053 10068G Metal/Grey Gradient"
"BE3053-3","Burberry BE3053 112913 Rose Gold/Brown Gradient"
"BE3053-4","Burberry BE3053 11293D Rose Gold Beige/Silver Gradient"
"BE3054-1","Burberry BE3054 100213 Light Gold/Brown Gradient"
"BE3054-2","Burberry BE3054 10068G Metal Grey/Gradient"
"BE3054-3","Burberry BE3054 112913 Rose Gold/Brown Gradient"
"BE3054-4","Burberry BE3054 11293D Rose Gold Beige Mirror/Silver Gradient"
"BE3055-1","Burberry BE3055 1002T5 Pale Gold/Polarized Brown Gradient"
"BE3055-2","Burberry BE3055 100681 Grey/Polarized Grey"
"BE3055-3","Burberry BE3055 100781 Matte Black/Polarized Grey"
"BE3055-4","Burberry BE3055 100173 Black/Brown"
"BE3055-5","Burberry BE3055 101487 Matte Gunmetal/Grey"
"BE3055-6","Burberry BE3055 105787 Dark Nickel/Grey"
"BE3056-1","Burberry BE3056 1005T3 Silver/Polarized Grey Gradient"
"BE3056-2","Burberry BE3056 100213 Pale Gold/Brown Gradient"
"BE3056-3","Burberry BE3056 100313 Gunmetal /Brown Gradient"
"BE3056-4","Burberry BE3056 100611 Grey/Grey Gradient"
"BE3056-5","Burberry BE3056 114213 Gunmetal/Brown Gradient"
"BE3057-1","Burberry BE3057 100213 Pale Gold/Brown Gradient"
"BE3057-2","Burberry BE3057 100673 Grey/Brown"
"BE3057-3","Burberry BE3057 101113 Copper/Brown Gradient"
"BE3057-4","Burberry BE3057 105787 Dark Gunmetal/Grey"
"BE3058-1","Burberry BE3058 10018E Black/Olive Gradient"
"BE3058-2","Burberry BE3058 100511 Silver/Grey Gradient"
